#形近字	#常用字	#简化字
垻埧	垻	坝
寳寶	寶	宝
綳繃	綳	绷
幣幤	幣	币
飆飇飈	飆	
賓賔	賓	宾
儐𭀀	儐	傧
濱濵	濱	滨
擯𢷤	擯	摈
殯𣩵	殯	殡
臏𬛜	臏	膑
餅餠	餅	饼
駁𩢃	駁	驳
慙慚	慚	惭
厠廁	厠	厕
饞馋	饞	馋
纏纒	纏	缠
產産	産	产
懴懺	懺	忏
腸膓	腸	肠
鱨𩼝	鱨	鲿
齓齔	齔	龀
䜟讖	讖	谶
鉏鋤	鋤	锄
刱剏剙	創	创
鶿鷀	鷀	鹚
騘驄	驄	骢
聦聰	聰	聪
鹺𪉵	鹺	鹾
㠀島	島	岛
顚顛	顛	颠
巓巔	巔	巅
㸃點	點	点
澱𣾮	澱	淀
墮隳𡐦	墮	堕
髪髮	髮	发
廢癈	廢	废
鳯鳳	鳳	凤
鳧鳬	鳬	凫
葢蓋	蓋	盖
幹榦𠏉	幹	干
戅戇	戇	戆
媯嬀	嬀	妫
葒葓	葒	荭
壷壺	壺	壶
鸌𪇡	鸌	鹱
華蕐	華	华
謊𧧢𧧮	謊	谎
彙彚	彙	汇
㑹會	會	会
繢繪𦅩	繪	绘
穫𮒗	穫	获
獲𫉬	獲	获
㡬幾	幾	几
襇襉𧟉	襇	裥
簡𥳑	簡	简
劍劒劔	劍	剑
㵎澗	澗	涧
奬獎	奬	奖
緊𦂳	緊	紧
鶄𪂴	鶄	䴖
鬮𨷺	鬮	阄
鷲𩀻𪆩	鷲	鹫
愳懼	懼	惧
䳌鵑	鵑	鹃
絕絶	絶	绝
殻殼	殻	壳
寛寬	寬	宽
虧𧇊𧇾	虧	亏
壼𠁕	壼	壸
賚𧶘	賚	赉
擥攬	攬	揽
厯歴歷𠪱	歷	历
藶𮒃	藶	苈
䴡麗	麗	丽
瀝𤁋	瀝	沥
櫪𭬒	櫪	枥
癧𤻤𭼰	癧	疬
靂𩆝	靂	雳
聮聯	聯	联
獵𤢪	獵	猎
劉𭄘	劉	刘
瀏𤄉	瀏	浏
餾𩞷	餾	馏
騮驑骝	騮	骝
飀飅飗	飀	飗
鶹鹠𪅳	鶹	鹠
㰍櫳	櫳	栊
朧𦢫	朧	胧
礱礲	礱	砻
鸕𪈒	鸕	鸬
錄録	録	录
㝈孿	孿	孪
綠緑	緑	绿
罵駡	駡	骂
貿𧵍𧶝	貿	贸
麼麽	麽	么
濛𪷟	濛	蒙
綿緜	綿	绵
麪麫麵	麵	面
㓕滅	滅	灭
鮎鯰	鮎	
寕寧	寧	宁
䳼鴎鷗	鷗	鸥
龎龐	龐	庞
駢騈	駢	骈
嬪𡣕	嬪	嫔
啓啟	啓	启
籖籤	籤	签
嬙𡣰	嬙	嫱
檣𣞱	檣	樯
繈繦鏹	鏹	镪
竊𥩈𥩓	竊	窃
㷀煢𠙦	煢	茕
慤𢡱	慤	悫
譲讓	讓	让
熱𤍠	熱	热
銳鋭𨦣	鋭	锐
傘𠍘	傘	伞
䘮喪	喪	丧
賒賖	賒	赊
溼濕	濕	湿
諡謚	謚	谥
竪豎	竪	竖
䨇雙	雙	双
說説	説	说
䤹鎪	鎪	锼
嵗歲	歲	岁
嘆歎	嘆	叹
鐡鐵	鐵	铁
㕔廳	廳	厅
頹頽	頽	颓
䭾馱	馱	驮
襪韈韤	襪	袜
為爲	爲	为
溈潙	潙	沩
偽僞	僞	伪
衛衞	衛	卫
穏穩	穩	稳
䳱鶩	鶩	鹜
壐璽	璽	玺
䦧鬩	鬩	阋
癇癎𤺛	癇	痫
鄉鄕	鄉	乡
鈃銒	鈃	钘
訩詾	訩	讻
籲𥸤	籲	吁
廯癬	癬	癣
顏顔	顔	颜
様樣	樣	样
嶢嶤𡸳	嶢	峣
謠謡	謡	谣
燁𤍞	燁	烨
陰隂	陰	阴
飮飲	飲	饮
甖罌	罌	罂
穎頴	穎	颖
員貟	員	员
圎圓	圓	圆
逺遠	遠	远
閱閲	閲	阅
輼轀	輼	辒
醖醞	醖	酝
緼縕	緼	缊
藴蘊	藴	蕴
賛贊	贊	赞
鄼酇	酇	酂
臓臟	臟	脏
鑿𨯳	鑿	凿
凙澤𤢟	澤	泽
譖譛𧮂	譖	谮
輒輙	輒	辄
鎭鎮	鎮	镇
徴徵	徵	征
隲騭𨽥	騭	骘
晝𦘙	晝	昼
貯𫎓	貯	贮
緫總	總	总
纉纘	纘	缵
鑚鑽	鑽	钻
絺𥿭	絺	𫄨
蒍蔿	蔿	𫇭
魮鮆	鮆	𫚖
輏輶	輶	𬨎
鍭𨩀	鍭	𬭤
寑寝寢	寢	寝
勲勳	勛	勋
併倂𠊧	併	并
崐崑		昆
崘崙	侖	仑
暤暭曍	暤	
忩怱悤	匆	
鬷𩱛	鬷	
孳孶	孳	
兹茲	兹	
梲棁	棁	
㧓抓	抓	
煑煮	煮	
籀籒	籀	
冑胄	胄	
呪咒	咒	
炙𬉹	炙	
豸𪺏	豸	
茝茞	茝	
汦泜	泜	
㫖旨	旨	
脂𮌖	脂	
栀梔	栀	
挣掙	挣	
筝箏	筝	
狰猙	狰	
峥崢	峥	
争爭	争	
眞真	真	
罩𦋇𦋐	罩	
㫋旃	旃	
柵栅𣑭	栅	
剳劄	劄	
罾𦌘	罾	
増增	增	
蚤𧎮	蚤	
奘𤞛	奘	
簪簮𬖂	簪	
災灾	灾	
拶桚	拶	
蕰薀	蕰	
愠慍	愠	
勻匀	匀	
煴熅	煴	
氲氳	氲	
㵸瀹	瀹	
粤粵	粤	
恱悅悦	悦	
冤寃𡨚	冤	
庾𢈔	庾	
俁俣	俣	
畬畲	畬	
娛娱	娱	
槱𣜃𪳝	槱	
勇勈勇	勇	
㙲壅	壅	
胤𠉥𦙌𦙍	胤	
㦤懿	懿	
肄肆	肆	
彛彝	彝	
曳曵	曳	
燿耀	耀	
瑤瑶	瑶	
遙遥	遥	
搖摇	摇	
窑窯窰	窑	
焰熖	焰	
彥彦	彦	
琰𤥎	琰	
兖兗	兖	
研硏	研	
妍姸	妍	
䝟猰	猰	
巺巽	巽	
薛辥辪	薛	
玄𤣥	玄	
溆漵潊	溆	
叙敍敘	叙	
冔𠳲	冔	
嘘噓	嘘	
虚虛	虚	
滫𣺫	滫	
夐敻	夐	
胷胸	胸	
邢郉	邢	
夑燮爕	燮	
㳿渫𠗨	渫	
卸缷	卸	
勰𢣢	勰	
厢廂	厢	
祅祆	祆	
罅𦉑	罅	
潟澙	潟	
隙𨻶	隙	
舃舄	舄	
觽觿	觿	
燨爔	爔	
熈熙	熙	
晳皙	皙	
吳吴	吴	
汙汚污	污	
卧臥	卧	
温溫	温	
㤀忘	忘	
㒺罔	罔	
亡亾	亡	
㒬尩尪尫	尪	
晥皖	皖	
晚晩	晚	
腽膃	腽	
