拼音韵母	韵部数	作者	方案（著作）名称	a/ia/ua	o/uo	e	ie	üe	ou	iu (iou)	u	ü	i	-i[ɿ]	-i[ʅ]	ei/ui (uei)	ai/uai	ao	iao	an	uan	üan	ian	ang	iang	uang	en	un (uen)	ün (üen)	in (ien)	eng	ueng	ing	ong/iong	ê	er
注音韵母				ㄚ / ㄧㄚ / ㄨㄥ	ㄛ / ㄨㄛ	ㄜ	ㄧㄝ	ㄩㄝ	ㄡ	ㄧㄡ	ㄨ	ㄩ	ㄧ	ㄭ	ㄭ	ㄟ / ㄨㄟ	ㄞ / ㄨㄞ	ㄠ	ㄧㄠ	ㄢ	ㄨㄢ	ㄩㄢ	ㄧㄢ	ㄤ	ㄧㄤ	ㄨㄤ	ㄣ	ㄨㄣ	ㄩㄣ	ㄧㄣ	ㄥ	ㄨㄥ	ㄧㄥ	ㄨㄥ / ㄩㄥ	ㄝ	ㄦ
1922	24	赵元任	国音新诗韵	阿	哦	呃	些		欧		乌	迂	衣	思	日	ㄟ	嗳	凹		安	烟			肮			恩	温	氲	音	鞥	(翁)	鹰	翁	ㄝ	而
1922	20	赵元任※	国音新诗韵	阿	哦	呃	些		欧		乌	迂	衣	思日		ㄟ	嗳	凹		安烟				肮			恩温		氲音		鞥	(翁)	鹰	翁	ㄝ	而
1934	17	黎锦熙	佩文诗韵	麻	波	歌	皆		侯		模	鱼	齐	支		微	开	豪		寒				唐			痕				庚			东	-	儿
1937	13	张洵如	北平音系十三辙	发花	梭坡		乜斜		油求		姑苏	一七				灰堆	怀来	遥条		言前				江阳			人辰				中东				-	（一七）
1941	17	魏建功	中华新韵	麻	波	歌	皆		侯		姑	鱼	齐	支		微	开	豪		寒				唐			痕				庚			东	-	儿
1943	13	罗常培	北京俗曲百种摘韵	发花	梭波		乜斜		油求		姑苏	一七				灰堆	怀来	遥条		言前				江阳			人辰				中东				-	（一七）
1957	17	王慧三	汉语诗韵	麻	波	歌	皆		侯		模	鱼	齐	支		微	开	豪		寒				唐			痕				庚			东	-	儿
1959	21	张允和	诗歌新韵	啊	啊	婀	诶		欧		乌	迂	衣	日		欸	哀	凹		安		烟		肮			恩		晕	因	鞥		英	嗡	-	儿
1959	18	张允和※	诗歌新韵	啊	啊	婀	诶		欧		乌	迂	衣	日		欸	哀	凹		安烟				肮			恩		晕因		鞥英			嗡	-	儿
1965	17	中华书局/上海古籍	诗韵新编	麻	波	歌	皆		侯		姑	鱼	齐	支		微	开	豪		寒				唐			痕				庚			东	-	儿
1966	11	黎锦熙	诗歌新韵辙四种调研	麻	波		皆		侯				支				开	豪		寒				唐			痕				庚				-	（支）
